,model_name,hyperparameter_C
0,threat_circuit_cond_block1,0.0002636650898730358
1,threat_circuit_cond_block2,0.0018329807108324356
2,threat_circuit_cond_block3,0.0002636650898730358
3,threat_circuit_cond_block4,0.0006951927961775606
4,threat_circuit_ext_block1,9.999999999999999e-05
5,threat_circuit_ext_block2,0.08858667904100824
6,threat_circuit_ext_block3,0.0018329807108324356
7,threat_circuit_ext_block4,9.999999999999999e-05
8,threat_circuit_recall_block1,0.0002636650898730358
9,threat_circuit_recall_block2,0.0002636650898730358
10,threat_circuit_recall_block3,0.0002636650898730358
11,threat_circuit_recall_block4,545.5594781168514
12,whole_brain_cond_block1,9.999999999999999e-05
13,whole_brain_cond_block2,9.999999999999999e-05
14,whole_brain_cond_block3,9.999999999999999e-05
15,whole_brain_cond_block4,206.913808111479
16,whole_brain_ext_block1,9.999999999999999e-05
17,whole_brain_ext_block2,9.999999999999999e-05
18,whole_brain_ext_block3,0.23357214690901212
19,whole_brain_ext_block4,0.0018329807108324356
20,whole_brain_recall_block1,9.999999999999999e-05
21,whole_brain_recall_block2,9.999999999999999e-05
22,whole_brain_recall_block3,9.999999999999999e-05
23,whole_brain_recall_block4,9.999999999999999e-05
24,extend_circuit_cond_block1,9.999999999999999e-05
25,extend_circuit_cond_block2,9.999999999999999e-05
26,extend_circuit_cond_block3,9.999999999999999e-05
27,extend_circuit_cond_block4,0.0002636650898730358
